Zelena	Žuta	Tirkizna	Magenta	Naran?asta	Plava	Modra	Indigo	klasa
0,10	0,05	0,60	0,02	0,00	0,00	0,19	0,04	Tirkizna
0,05	0,00	0,07	0,12	0,00	0,49	0,20	0,08	Plava
0,01	0,00	0,01	0,02	0,00	0,02	0,42	0,53	Indigo
0,01	0,00	0,00	0,24	0,00	0,00	0,18	0,57	Indigo
0,13	0,76	0,00	0,00	0,11	0,00	0,00	0,00	Žuta
0,02	0,19	0,00	0,00	0,80	0,00	0,00	0,00	Naran?asta
0,08	0,92	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,17	0,78	0,05	0,00	0,00	0,00	0,00	0,00	Žuta
0,03	0,00	0,02	0,11	0,00	0,42	0,23	0,18	Plava
0,03	0,00	0,02	0,08	0,00	0,26	0,31	0,30	Modra
0,39	0,44	0,15	0,01	0,00	0,00	0,00	0,01	Žuta
0,04	0,00	0,05	0,11	0,00	0,53	0,18	0,08	Plava
0,03	0,00	0,00	0,97	0,00	0,00	0,00	0,00	Magenta
0,49	0,25	0,23	0,01	0,00	0,00	0,00	0,02	Zelena
0,03	0,00	0,04	0,07	0,00	0,39	0,25	0,21	Plava
0,16	0,08	0,60	0,03	0,00	0,00	0,08	0,05	Tirkizna
0,09	0,00	0,00	0,88	0,00	0,00	0,02	0,01	Magenta
0,14	0,06	0,58	0,04	0,00	0,00	0,12	0,06	Tirkizna
0,09	0,89	0,02	0,00	0,00	0,00	0,00	0,00	Žuta
0,91	0,06	0,02	0,00	0,00	0,00	0,00	0,00	Zelena
0,10	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,04	0,00	0,00	0,88	0,00	0,00	0,02	0,05	Magenta
0,03	0,14	0,00	0,00	0,83	0,00	0,00	0,00	Naran?asta
0,02	0,00	0,01	0,05	0,00	0,08	0,39	0,45	Indigo
0,06	0,00	0,00	0,76	0,00	0,01	0,08	0,10	Magenta
0,14	0,86	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,11	0,08	0,62	0,02	0,00	0,00	0,13	0,04	Tirkizna
0,17	0,00	0,35	0,06	0,00	0,02	0,20	0,19	Tirkizna
0,01	0,10	0,00	0,00	0,90	0,00	0,00	0,00	Naran?asta
0,06	0,00	0,11	0,10	0,00	0,43	0,21	0,09	Plava
0,01	0,00	0,00	0,05	0,00	0,01	0,35	0,59	Indigo
0,02	0,00	0,01	0,03	0,00	0,05	0,42	0,48	Indigo
0,03	0,00	0,02	0,08	0,00	0,22	0,33	0,33	Indigo
0,06	0,00	0,13	0,08	0,00	0,40	0,21	0,11	Plava
0,06	0,00	0,00	0,86	0,00	0,00	0,04	0,04	Magenta
0,08	0,92	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,10	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,53	0,39	0,07	0,00	0,00	0,00	0,00	0,00	Zelena
0,08	0,00	0,17	0,10	0,00	0,31	0,24	0,09	Plava
0,05	0,91	0,00	0,00	0,04	0,00	0,00	0,00	Žuta
0,02	0,21	0,00	0,00	0,78	0,00	0,00	0,00	Naran?asta
0,05	0,00	0,01	0,31	0,00	0,21	0,23	0,20	Magenta
0,02	0,00	0,02	0,04	0,00	0,10	0,40	0,42	Indigo
0,01	0,00	0,01	0,04	0,00	0,04	0,40	0,50	Indigo
0,13	0,02	0,48	0,06	0,00	0,02	0,18	0,10	Tirkizna
0,03	0,00	0,04	0,07	0,00	0,42	0,24	0,19	Plava
0,03	0,00	0,02	0,12	0,00	0,31	0,27	0,25	Plava
0,01	0,14	0,00	0,00	0,84	0,00	0,00	0,00	Naran?asta
0,12	0,01	0,40	0,07	0,00	0,07	0,21	0,12	Tirkizna
0,05	0,00	0,05	0,13	0,00	0,51	0,19	0,08	Plava
0,01	0,00	0,00	0,05	0,00	0,01	0,37	0,55	Indigo
0,08	0,92	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,03	0,00	0,03	0,08	0,00	0,33	0,28	0,26	Plava
0,01	0,11	0,00	0,00	0,88	0,00	0,00	0,00	Naran?asta
0,05	0,91	0,00	0,00	0,04	0,00	0,00	0,00	Žuta
0,04	0,28	0,00	0,00	0,67	0,00	0,00	0,00	Naran?asta
0,07	0,91	0,00	0,00	0,02	0,00	0,00	0,00	Žuta
0,03	0,00	0,02	0,12	0,00	0,36	0,25	0,22	Plava
0,11	0,13	0,65	0,01	0,00	0,00	0,08	0,03	Tirkizna
0,67	0,27	0,05	0,00	0,00	0,00	0,00	0,00	Zelena
0,02	0,00	0,01	0,06	0,00	0,11	0,38	0,42	Indigo
0,02	0,00	0,01	0,11	0,00	0,10	0,34	0,42	Indigo
0,12	0,01	0,40	0,07	0,00	0,07	0,22	0,11	Tirkizna
0,85	0,03	0,09	0,01	0,00	0,00	0,00	0,02	Zelena
0,02	0,58	0,00	0,00	0,40	0,00	0,00	0,00	Žuta
0,09	0,91	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,07	0,00	0,06	0,17	0,00	0,39	0,24	0,07	Plava
0,34	0,47	0,18	0,01	0,00	0,00	0,00	0,01	Žuta
0,05	0,00	0,07	0,10	0,00	0,52	0,18	0,09	Plava
0,01	0,00	0,00	0,03	0,00	0,00	0,36	0,60	Indigo
0,07	0,00	0,00	0,80	0,00	0,01	0,07	0,06	Magenta
0,03	0,00	0,03	0,11	0,00	0,49	0,20	0,14	Plava
0,04	0,00	0,03	0,12	0,00	0,51	0,19	0,12	Plava
0,05	0,90	0,00	0,00	0,04	0,00	0,00	0,00	Žuta
0,04	0,00	0,01	0,20	0,00	0,28	0,25	0,22	Plava
0,05	0,12	0,00	0,00	0,83	0,00	0,00	0,00	Naran?asta
0,04	0,00	0,00	0,95	0,00	0,00	0,00	0,01	Magenta
0,03	0,00	0,03	0,10	0,00	0,39	0,25	0,21	Plava
0,14	0,03	0,54	0,05	0,00	0,01	0,15	0,08	Tirkizna
0,02	0,00	0,01	0,08	0,00	0,05	0,37	0,48	Indigo
0,02	0,14	0,00	0,00	0,84	0,00	0,00	0,00	Naran?asta
0,08	0,00	0,00	0,92	0,00	0,00	0,00	0,00	Magenta
0,01	0,00	0,00	0,02	0,00	0,00	0,38	0,58	Indigo
0,04	0,86	0,00	0,00	0,10	0,00	0,00	0,00	Žuta
0,15	0,06	0,59	0,04	0,00	0,00	0,11	0,06	Tirkizna
0,81	0,05	0,11	0,01	0,00	0,00	0,00	0,02	Zelena
0,04	0,00	0,03	0,13	0,00	0,53	0,18	0,09	Plava
0,01	0,00	0,00	0,12	0,00	0,00	0,27	0,59	Indigo
0,04	0,00	0,05	0,11	0,00	0,53	0,18	0,08	Plava
0,14	0,79	0,07	0,00	0,00	0,00	0,00	0,00	Žuta
0,09	0,84	0,00	0,00	0,08	0,00	0,00	0,00	Žuta
0,04	0,00	0,04	0,10	0,00	0,52	0,19	0,12	Plava
0,06	0,13	0,00	0,00	0,82	0,00	0,00	0,00	Naran?asta
0,36	0,43	0,19	0,01	0,00	0,00	0,00	0,01	Žuta
0,06	0,00	0,00	0,77	0,00	0,01	0,08	0,08	Magenta
0,03	0,84	0,00	0,00	0,13	0,00	0,00	0,00	Žuta
0,04	0,00	0,00	0,89	0,00	0,00	0,02	0,05	Magenta
0,01	0,17	0,00	0,00	0,82	0,00	0,00	0,00	Naran?asta
0,34	0,33	0,29	0,01	0,00	0,00	0,01	0,02	Zelena
0,16	0,32	0,48	0,01	0,00	0,00	0,02	0,02	Tirkizna
0,24	0,03	0,54	0,04	0,00	0,00	0,07	0,08	Tirkizna
0,45	0,48	0,06	0,00	0,00	0,00	0,00	0,00	Žuta
0,04	0,95	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,02	0,00	0,01	0,13	0,00	0,04	0,34	0,46	Indigo
0,10	0,89	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,01	0,00	0,00	0,09	0,00	0,01	0,33	0,55	Indigo
0,07	0,00	0,16	0,09	0,00	0,35	0,22	0,11	Plava
0,14	0,06	0,59	0,04	0,00	0,00	0,12	0,06	Tirkizna
0,50	0,33	0,15	0,01	0,00	0,00	0,00	0,01	Zelena
0,07	0,92	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,01	0,16	0,00	0,00	0,84	0,00	0,00	0,00	Naran?asta
0,88	0,01	0,08	0,01	0,00	0,00	0,00	0,02	Zelena
0,14	0,85	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,04	0,00	0,04	0,11	0,00	0,54	0,18	0,09	Plava
0,03	0,00	0,02	0,06	0,00	0,22	0,34	0,33	Modra
0,06	0,00	0,11	0,10	0,00	0,42	0,22	0,09	Plava
0,22	0,73	0,04	0,00	0,00	0,00	0,00	0,00	Žuta
0,33	0,60	0,06	0,00	0,00	0,00	0,00	0,00	Žuta
0,37	0,46	0,16	0,01	0,00	0,00	0,00	0,01	Žuta
0,11	0,12	0,63	0,01	0,00	0,00	0,09	0,03	Tirkizna
0,08	0,89	0,00	0,00	0,03	0,00	0,00	0,00	Žuta
0,10	0,01	0,31	0,09	0,00	0,14	0,25	0,10	Tirkizna
0,03	0,00	0,03	0,08	0,00	0,31	0,29	0,27	Plava
0,01	0,00	0,00	0,47	0,00	0,00	0,02	0,50	Indigo
0,03	0,00	0,02	0,10	0,00	0,31	0,28	0,26	Plava
0,03	0,00	0,03	0,09	0,00	0,36	0,26	0,23	Plava
0,09	0,00	0,13	0,05	0,00	0,08	0,32	0,34	Indigo
0,14	0,82	0,04	0,00	0,00	0,00	0,00	0,00	Žuta
0,03	0,00	0,02	0,10	0,00	0,31	0,28	0,26	Plava
0,09	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,01	0,00	0,01	0,03	0,00	0,02	0,40	0,53	Indigo
0,08	0,00	0,10	0,15	0,00	0,34	0,27	0,07	Plava
0,06	0,00	0,08	0,12	0,00	0,46	0,21	0,08	Plava
0,13	0,86	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,01	0,31	0,00	0,00	0,68	0,00	0,00	0,00	Naran?asta
0,03	0,00	0,00	0,94	0,00	0,00	0,01	0,03	Magenta
0,02	0,00	0,01	0,06	0,00	0,12	0,38	0,42	Indigo
0,05	0,89	0,00	0,00	0,07	0,00	0,00	0,00	Žuta
0,01	0,09	0,00	0,00	0,91	0,00	0,00	0,00	Naran?asta
0,42	0,46	0,11	0,00	0,00	0,00	0,00	0,01	Žuta
0,10	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,57	0,39	0,04	0,00	0,00	0,00	0,00	0,00	Zelena
0,11	0,09	0,64	0,02	0,00	0,00	0,12	0,03	Tirkizna
0,23	0,02	0,54	0,04	0,00	0,00	0,08	0,08	Tirkizna
0,05	0,00	0,09	0,09	0,00	0,48	0,20	0,09	Plava
0,21	0,04	0,56	0,04	0,00	0,00	0,08	0,07	Tirkizna
0,04	0,95	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,05	0,32	0,00	0,00	0,63	0,00	0,00	0,00	Naran?asta
0,01	0,00	0,01	0,03	0,00	0,03	0,41	0,51	Indigo
0,06	0,12	0,00	0,00	0,83	0,00	0,00	0,00	Naran?asta
0,15	0,04	0,56	0,04	0,00	0,00	0,13	0,07	Tirkizna
0,02	0,09	0,00	0,00	0,89	0,00	0,00	0,00	Naran?asta
0,98	0,02	0,00	0,00	0,00	0,00	0,00	0,00	Zelena
0,01	0,09	0,00	0,00	0,90	0,00	0,00	0,00	Naran?asta
0,05	0,00	0,06	0,11	0,00	0,50	0,19	0,08	Plava
0,44	0,33	0,20	0,01	0,00	0,00	0,00	0,01	Zelena
0,04	0,00	0,04	0,10	0,00	0,52	0,19	0,12	Plava
0,35	0,01	0,46	0,03	0,00	0,00	0,06	0,09	Tirkizna
0,08	0,00	0,00	0,81	0,00	0,01	0,06	0,04	Magenta
0,01	0,00	0,01	0,07	0,00	0,04	0,37	0,50	Indigo
0,04	0,95	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,20	0,01	0,47	0,05	0,00	0,01	0,14	0,13	Tirkizna
0,11	0,89	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,10	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,03	0,00	0,03	0,11	0,00	0,49	0,20	0,13	Plava
0,07	0,00	0,07	0,16	0,00	0,39	0,25	0,07	Plava
0,08	0,92	0,00	0,00	0,01	0,00	0,00	0,00	Žuta
0,73	0,07	0,16	0,01	0,00	0,00	0,00	0,02	Zelena
0,04	0,00	0,04	0,11	0,00	0,54	0,18	0,09	Plava
0,01	0,12	0,00	0,00	0,88	0,00	0,00	0,00	Naran?asta
0,02	0,12	0,00	0,00	0,87	0,00	0,00	0,00	Naran?asta
0,07	0,00	0,15	0,07	0,00	0,29	0,24	0,17	Plava
0,03	0,00	0,00	0,91	0,00	0,00	0,01	0,05	Magenta
0,20	0,23	0,50	0,01	0,00	0,00	0,03	0,03	Tirkizna
0,27	0,53	0,19	0,00	0,00	0,00	0,00	0,01	Žuta
0,11	0,88	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,03	0,00	0,00	0,67	0,00	0,00	0,08	0,22	Magenta
0,58	0,00	0,25	0,03	0,00	0,00	0,04	0,10	Zelena
0,08	0,00	0,12	0,13	0,00	0,32	0,27	0,07	Plava
0,01	0,00	0,01	0,06	0,00	0,04	0,38	0,50	Indigo
0,16	0,08	0,60	0,03	0,00	0,00	0,08	0,05	Tirkizna
0,03	0,00	0,02	0,12	0,00	0,34	0,26	0,23	Plava
0,08	0,91	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,73	0,07	0,16	0,01	0,00	0,00	0,00	0,02	Zelena
0,01	0,26	0,00	0,00	0,74	0,00	0,00	0,00	Naran?asta
0,14	0,08	0,60	0,03	0,00	0,00	0,10	0,05	Tirkizna
0,04	0,00	0,05	0,09	0,00	0,53	0,18	0,11	Plava
0,09	0,91	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,02	0,00	0,02	0,04	0,00	0,09	0,40	0,43	Indigo
0,02	0,00	0,01	0,06	0,00	0,11	0,38	0,43	Indigo
0,18	0,08	0,59	0,03	0,00	0,00	0,06	0,05	Tirkizna
0,06	0,00	0,02	0,23	0,00	0,42	0,19	0,08	Plava
0,05	0,92	0,00	0,00	0,03	0,00	0,00	0,00	Žuta
0,34	0,61	0,05	0,00	0,00	0,00	0,00	0,00	Žuta
0,04	0,94	0,00	0,00	0,02	0,00	0,00	0,00	Žuta
0,01	0,00	0,00	0,07	0,00	0,02	0,36	0,54	Indigo
0,09	0,01	0,23	0,10	0,00	0,22	0,26	0,09	Modra
0,04	0,00	0,00	0,81	0,00	0,00	0,05	0,10	Magenta
0,10	0,90	0,00	0,00	0,00	0,00	0,00	0,00	Žuta
0,10	0,03	0,67	0,01	0,00	0,00	0,17	0,03	Tirkizna
0,01	0,13	0,00	0,00	0,86	0,00	0,00	0,00	Naran?asta
0,03	0,00	0,00	0,93	0,00	0,00	0,01	0,03	Magenta

